package,version,snapshot_time,folder,subfolder,submission_time
bbotk,0.5.2,2022-03-31 01:20:47,waiting,NA,2022-03-28 07:59:00
broom.mixed,0.2.9.4,2022-03-31 01:20:47,pending,NA,2022-03-30 14:38:00
CNVScope,3.7.2,2022-03-31 01:20:47,pretest,NA,2022-03-30 23:10:00
covid19br,0.1.4,2022-03-31 01:20:47,recheck,NA,2022-03-30 12:11:00
crs,0.15-34,2022-03-31 01:20:47,recheck,NA,2022-03-30 22:30:00
FlywayNet,0.1.1,2022-03-31 01:20:47,waiting,NA,2022-03-14 17:25:00
ggcorset,0.1.0,2022-03-31 01:20:47,newbies,NA,2022-03-30 20:20:00
igraph,1.3.0,2022-03-31 01:20:47,recheck,NA,2022-03-30 19:47:00
investr,1.4.2,2022-03-31 01:20:47,newbies,NA,2022-03-30 19:27:00
JLPM,1.0.1,2022-03-31 01:20:47,newbies,NA,2022-03-30 14:12:00
KODAMA,1.9,2022-03-31 01:20:47,inspect,NA,2022-03-29 13:49:00
MCMCpack,1.6-2,2022-03-31 01:20:47,publish,NA,2022-03-30 11:28:00
MLVSBM,0.2.3,2022-03-31 01:20:47,waiting,NA,2022-03-30 09:19:00
objectSignals,0.10.3,2022-03-31 01:20:47,waiting,NA,2022-03-30 16:41:00
picker,0.2.6,2022-03-31 01:20:47,newbies,NA,2022-03-30 17:31:00
plgp,1.1-8,2022-03-31 01:20:47,recheck,NA,2022-03-29 22:33:00
RandomFieldsUtils,1.2.3,2022-03-31 01:20:47,inspect,NA,2022-03-30 19:34:00
RcppAlgos,2.5.3,2022-03-31 01:20:47,waiting,NA,2022-03-30 13:54:00
rstantools,2.2.0,2022-03-31 01:20:47,waiting,NA,2022-03-23 20:18:00
sedproxy,0.7.3,2022-03-31 01:20:47,newbies,NA,2022-03-30 16:00:00
sinew,0.4.0,2022-03-31 01:20:47,waiting,NA,2022-03-27 20:02:00
texPreview,2.0.0,2022-03-31 01:20:47,waiting,NA,2022-03-29 01:00:00
tippy,1.0.0,2022-03-31 01:20:47,waiting,NA,2022-03-26 17:50:00
xrf,0.2.1,2022-03-31 01:20:47,inspect,NA,2022-03-30 23:10:00
ZetaSuite,1.0.0,2022-03-31 01:20:47,newbies,NA,2022-03-30 20:09:00
