"","subfolder","snapshot_time","year","time","package","version","submission_time","howlongago","submitted","folder"
"1","",2020-09-12 07:13:00,"2020","09:44","elementarz-programisty-nowosad-2020.pdf",NA,2020-08-26 07:44:00,17,"17 day(s) ago","human"
"2","inspect",2020-09-12 07:13:00,"2020","04:53","sigminer","1.0.16",2020-09-12 02:53:00,0.2,"0.2 day(s) ago","inspect"
"3","inspect",2020-09-12 07:13:00,"2020","05:13","ubiquity","1.0.3",2020-09-12 03:13:00,0.2,"0.2 day(s) ago","inspect"
"4","inspect",2020-09-12 07:13:00,"2020","00:48","h2o","3.30.1.2",2020-09-11 22:48:00,0.4,"0.4 day(s) ago","inspect"
"5","inspect",2020-09-12 07:13:00,"2020","00:07","reactlog","1.1.0",2020-09-11 22:07:00,0.4,"0.4 day(s) ago","inspect"
"6","inspect",2020-09-12 07:13:00,"2020","20:02","EHR","0.3-0",2020-09-11 18:02:00,0.5,"0.5 day(s) ago","inspect"
"7","inspect",2020-09-12 07:13:00,"2020","21:12","dsmisc","0.3.3",2020-09-11 19:12:00,0.5,"0.5 day(s) ago","inspect"
"8","inspect",2020-09-12 07:13:00,"2020","22:22","markmyassignment","0.8.3",2020-09-11 20:22:00,0.5,"0.5 day(s) ago","inspect"
"9","inspect",2020-09-12 07:13:00,"2020","22:02","move","4.0.4",2020-09-11 20:02:00,0.5,"0.5 day(s) ago","inspect"
"10","inspect",2020-09-12 07:13:00,"2020","20:22","photosynthesis","2.0.0",2020-09-11 18:22:00,0.5,"0.5 day(s) ago","inspect"
"11","inspect",2020-09-12 07:13:00,"2020","20:34","starschemar","1.1.0",2020-09-11 18:34:00,0.5,"0.5 day(s) ago","inspect"
"12","inspect",2020-09-12 07:13:00,"2020","18:43","AnaCoDa","0.1.4.3",2020-09-11 16:43:00,0.6,"0.6 day(s) ago","inspect"
"13","inspect",2020-09-12 07:13:00,"2020","16:43","Neighboot","1.0.0",2020-09-11 14:43:00,0.7,"0.7 day(s) ago","inspect"
"14","inspect",2020-09-12 07:13:00,"2020","17:16","cna","3.0.0",2020-09-11 15:16:00,0.7,"0.7 day(s) ago","inspect"
"15","inspect",2020-09-12 07:13:00,"2020","14:12","dmdScheme","1.2.3",2020-09-11 12:12:00,0.8,"0.8 day(s) ago","inspect"
"16","inspect",2020-09-12 07:13:00,"2020","15:02","marqLevAlg","2.0.4",2020-09-11 13:02:00,0.8,"0.8 day(s) ago","inspect"
"17","inspect",2020-09-12 07:13:00,"2020","04:15","patrick","0.0.2",2020-09-11 02:15:00,1.2,"1.2 day(s) ago","inspect"
"18","inspect",2020-09-12 07:13:00,"2020","00:58","hkdatasets","0.0.2",2020-09-10 22:58:00,1.3,"1.3 day(s) ago","inspect"
"19","inspect",2020-09-12 07:13:00,"2020","22:19","mlr3fselect","0.3.0",2020-09-10 20:19:00,1.5,"1.5 day(s) ago","inspect"
"20","inspect",2020-09-12 07:13:00,"2020","16:04","sparsebn","0.1.2",2020-09-10 14:04:00,1.7,"1.7 day(s) ago","inspect"
"21","inspect",2020-09-12 07:13:00,"2020","12:56","gamlss","5.2-0",2020-09-10 10:56:00,1.8,"1.8 day(s) ago","inspect"
"22","inspect",2020-09-12 07:13:00,"2020","03:20","policytree","1.0.3",2020-09-10 01:20:00,2.2,"2.2 day(s) ago","inspect"
"23","inspect",2020-09-12 07:13:00,"2020","03:09","FHDI","1.4.1",2020-09-10 01:09:00,2.3,"2.3 day(s) ago","inspect"
"24","inspect",2020-09-12 07:13:00,"2020","03:03","autoFRK","1.3.3",2020-09-10 01:03:00,2.3,"2.3 day(s) ago","inspect"
"25","inspect",2020-09-12 07:13:00,"2020","00:37","postpack","0.5.2",2020-09-09 22:37:00,2.4,"2.4 day(s) ago","inspect"
"26","inspect",2020-09-12 07:13:00,"2020","23:33","topsa","0.1.0",2020-09-09 21:33:00,2.4,"2.4 day(s) ago","inspect"
"27","inspect",2020-09-12 07:13:00,"2020","11:21","repr","1.1.2",2020-09-09 09:21:00,2.9,"2.9 day(s) ago","inspect"
"28","inspect",2020-09-12 07:13:00,"2020","09:48","CorReg","1.2.20",2020-09-09 07:48:00,3,"3 day(s) ago","inspect"
"29","inspect",2020-09-12 07:13:00,"2020","04:03","altmeta","3.2",2020-08-31 02:03:00,12.2,"12.2 day(s) ago","inspect"
"30","inspect",2020-09-12 07:13:00,"2020","09:03","afex","0.28-0",2020-08-27 07:03:00,16,"16 day(s) ago","inspect"
"31","inspect",2020-09-12 07:13:00,"2020","09:09","fingertipsR","1.0.5",2020-08-27 07:09:00,16,"16 day(s) ago","inspect"
"32","inspect",2020-09-12 07:13:00,"2020","12:09","marmap","1.0.5",2020-08-03 10:09:00,39.9,"39.9 day(s) ago","inspect"
"33","LH",2020-09-12 07:13:00,"2020","10:17","CovidMutations","0.1.3",2020-09-11 08:17:00,1,"1 day(s) ago","human"
"34","newbies",2020-09-12 07:13:00,"2020","22:27","SparkR","3.0.1",2020-09-11 20:27:00,0.4,"0.4 day(s) ago","newbies"
"35","newbies",2020-09-12 07:13:00,"2020","22:55","TSA","1.3",2020-09-11 20:55:00,0.4,"0.4 day(s) ago","newbies"
"36","newbies",2020-09-12 07:13:00,"2020","23:25","globalKinhom","0.1.0",2020-09-11 21:25:00,0.4,"0.4 day(s) ago","newbies"
"37","newbies",2020-09-12 07:13:00,"2020","00:04","retroharmonize","0.1.13",2020-09-11 22:04:00,0.4,"0.4 day(s) ago","newbies"
"38","newbies",2020-09-12 07:13:00,"2020","20:29","GHap","2.0.0",2020-09-11 18:29:00,0.5,"0.5 day(s) ago","newbies"
"39","newbies",2020-09-12 07:13:00,"2020","22:02","wayback","0.2.4",2020-09-11 20:02:00,0.5,"0.5 day(s) ago","newbies"
"40","newbies",2020-09-12 07:13:00,"2020","18:07","BVARverse","0.0.1",2020-09-11 16:07:00,0.6,"0.6 day(s) ago","newbies"
"41","newbies",2020-09-12 07:13:00,"2020","18:07","ScriptMapR","0.0.2",2020-09-11 16:07:00,0.6,"0.6 day(s) ago","newbies"
"42","newbies",2020-09-12 07:13:00,"2020","16:49","SlidingWindows","0.1.4",2020-09-11 14:49:00,0.7,"0.7 day(s) ago","newbies"
"43","newbies",2020-09-12 07:13:00,"2020","16:36","cepiigeodist","0.1",2020-09-11 14:36:00,0.7,"0.7 day(s) ago","newbies"
"44","newbies",2020-09-12 07:13:00,"2020","17:20","lightgbm","3.0.0",2020-09-11 15:20:00,0.7,"0.7 day(s) ago","newbies"
"45","newbies",2020-09-12 07:13:00,"2020","17:36","splmm","1.0",2020-09-11 15:36:00,0.7,"0.7 day(s) ago","newbies"
"46","newbies",2020-09-12 07:13:00,"2020","13:22","broom.helpers","1.0.0",2020-09-11 11:22:00,0.8,"0.8 day(s) ago","newbies"
"47","newbies",2020-09-12 07:13:00,"2020","14:02","gamma","1.0.0",2020-09-11 12:02:00,0.8,"0.8 day(s) ago","newbies"
"48","newbies",2020-09-12 07:13:00,"2020","14:13","pfica","0.1.0",2020-09-11 12:13:00,0.8,"0.8 day(s) ago","newbies"
"49","newbies",2020-09-12 07:13:00,"2020","14:04","shattering","1.0",2020-09-11 12:04:00,0.8,"0.8 day(s) ago","newbies"
"50","newbies",2020-09-12 07:13:00,"2020","12:20","MALDIrppa","1.0.5",2020-09-11 10:20:00,0.9,"0.9 day(s) ago","newbies"
"51","newbies",2020-09-12 07:13:00,"2020","11:16","ciccr","0.1.0",2020-09-11 09:16:00,0.9,"0.9 day(s) ago","newbies"
"52","newbies",2020-09-12 07:13:00,"2020","10:49","covid19swiss","0.1.0",2020-09-11 08:49:00,0.9,"0.9 day(s) ago","newbies"
"53","newbies",2020-09-12 07:13:00,"2020","12:19","faux","0.0.1.5",2020-09-11 10:19:00,0.9,"0.9 day(s) ago","newbies"
