"","subfolder","snapshot_time","year","time","package","version","submission_time","howlongago","folder"
"1","",2020-09-12 20:11:45,"2020","09:44","elementarz-programisty-nowosad-2020.pdf",NA,2020-08-26 07:44:00,17.5,"human"
"2",NA,2020-09-12 20:11:45,"2020","19:13","mosaicData","0.20.0",2020-09-12 17:13:00,0.1,"inspect"
"3",NA,2020-09-12 20:11:45,"2020","17:36","ggeffects","0.16.0",2020-09-12 15:36:00,0.2,"inspect"
"4",NA,2020-09-12 20:11:45,"2020","17:17","ubiquity","1.0.3",2020-09-12 15:17:00,0.2,"inspect"
"5",NA,2020-09-12 20:11:45,"2020","18:15","wakefield","0.3.5",2020-09-12 16:15:00,0.2,"inspect"
"6",NA,2020-09-12 20:11:45,"2020","20:34","starschemar","1.1.0",2020-09-11 18:34:00,1.1,"inspect"
"7",NA,2020-09-12 20:11:45,"2020","16:43","Neighboot","1.0.0",2020-09-11 14:43:00,1.2,"inspect"
"8",NA,2020-09-12 20:11:45,"2020","04:15","patrick","0.0.2",2020-09-11 02:15:00,1.7,"inspect"
"9",NA,2020-09-12 20:11:45,"2020","00:58","hkdatasets","0.0.2",2020-09-10 22:58:00,1.9,"inspect"
"10",NA,2020-09-12 20:11:45,"2020","22:19","mlr3fselect","0.3.0",2020-09-10 20:19:00,2,"inspect"
"11",NA,2020-09-12 20:11:45,"2020","16:04","sparsebn","0.1.2",2020-09-10 14:04:00,2.3,"inspect"
"12",NA,2020-09-12 20:11:45,"2020","12:56","gamlss","5.2-0",2020-09-10 10:56:00,2.4,"inspect"
"13",NA,2020-09-12 20:11:45,"2020","03:09","FHDI","1.4.1",2020-09-10 01:09:00,2.8,"inspect"
"14",NA,2020-09-12 20:11:45,"2020","03:03","autoFRK","1.3.3",2020-09-10 01:03:00,2.8,"inspect"
"15",NA,2020-09-12 20:11:45,"2020","03:20","policytree","1.0.3",2020-09-10 01:20:00,2.8,"inspect"
"16",NA,2020-09-12 20:11:45,"2020","00:37","postpack","0.5.2",2020-09-09 22:37:00,2.9,"inspect"
"17",NA,2020-09-12 20:11:45,"2020","23:33","topsa","0.1.0",2020-09-09 21:33:00,2.9,"inspect"
"18",NA,2020-09-12 20:11:45,"2020","09:48","CorReg","1.2.20",2020-09-09 07:48:00,3.5,"inspect"
"19",NA,2020-09-12 20:11:45,"2020","11:21","repr","1.1.2",2020-09-09 09:21:00,3.5,"inspect"
"20",NA,2020-09-12 20:11:45,"2020","04:03","altmeta","3.2",2020-08-31 02:03:00,12.8,"inspect"
